Epoch,Train ROC-AUC,Valid ROC-AUC,Test ROC-AUC,Loss
1,0.6858920392397948,0.6611613980502297,0.5998451401067563,0.37622862564227744
2,0.7369201374499463,0.7221934040640102,0.6848560779969286,0.32646253743077996
3,0.7426458420507283,0.736854015146938,0.7039391344910667,0.31185079369624363
4,0.7534419875703715,0.7449429078902837,0.7065193393427276,0.3087706016465318
5,0.7630013986592636,0.7563007482504297,0.7178503668750621,0.30444072934404764
6,0.7739053131362755,0.7707238118263092,0.7281125405424254,0.30095473099213726
7,0.7836423930519862,0.7746278595433911,0.7293648493778447,0.29821477597531515
8,0.7892749779251209,0.7809265270422061,0.7327319412167228,0.29324905644630855
9,0.7884410141049301,0.7754397454499872,0.7377520256072257,0.2914751097727659
10,0.7933534444073652,0.7801813347914592,0.7333947584197167,0.2888018749824174
11,0.7953127693880652,0.770984128999862,0.7193006115046936,0.28829458740599556
12,0.7952883558583749,0.7819549873763583,0.7374113063465991,0.28704257237476194
13,0.8068562837180666,0.7909149794427919,0.7459046567484354,0.281652675321866
14,0.8091300629856074,0.7908112274098936,0.7375023389333916,0.2790065990817972
15,0.8088459948730488,0.7854886571344458,0.7237057304578277,0.27822655501686494
16,0.8165102499358518,0.7969879174321772,0.7483678701268632,0.2735720038283946
17,0.8130928380796094,0.7909037383879702,0.729586132950437,0.2797735627240828
18,0.8141824815782268,0.7935800710045111,0.7459106483120223,0.2775839497628837
19,0.8232899696412118,0.8066765306558177,0.7414588178388525,0.27477262989203516
20,0.8230513037772476,0.8058164151008714,0.7416889647719493,0.2732995944535565
21,0.8253659799295691,0.8088671508074003,0.7509866438628562,0.26900642002223
22,0.8285507484726129,0.8103696962167044,0.7451297590791155,0.2679803691427919
23,0.8365420582651611,0.8064471480910861,0.7449373968135643,0.26823125815944515
24,0.8291858721991066,0.8094830708600671,0.7520285023396671,0.26816586605910936
25,0.8311255242440483,0.8113296782348165,0.7462792000860127,0.2669444537221684
26,0.8342073291438058,0.811662947132126,0.7488174099542135,0.2657715263857497
27,0.8350946489646551,0.8166860430720151,0.7499865895573165,0.26444069450751745
28,0.8382072139993033,0.8169529184336907,0.7454423857406542,0.2628004140667207
29,0.8414059241848121,0.8198672440113531,0.7477499922296452,0.2620507841517241
30,0.8403893316894572,0.8131143986050827,0.7524826228931173,0.26301695244504053
31,0.8335953879139494,0.8138510665143878,0.7407944374321503,0.26097375436763853
32,0.8432442089528129,0.820071043311714,0.7510419488858588,0.26049851996153633
33,0.8451322113169902,0.8136711902319892,0.7302392199090744,0.260099241138984
34,0.8389388750368177,0.8158375963903258,0.7492607795623712,0.2590957335591623
35,0.8369790330369993,0.8127990394569921,0.7539688214064794,0.26858492086555724
36,0.8375894457874562,0.8135147515252708,0.7504801224447667,0.26177205624276395
37,0.837832551186933,0.8095675188317115,0.7573103120978187,0.25843976456762485
38,0.8419038254628697,0.8152746729774988,0.7580889648928478,0.25753234377399387
39,0.845791286836123,0.8142154193713563,0.7503676786804289,0.25747274965700523
40,0.8410581975123198,0.8122362359604314,0.7555784158521578,0.2559891732775786
