Epoch,Train ROC-AUC,Valid ROC-AUC,Test ROC-AUC,Loss
1,0.7461742093675507,0.7414773672687192,0.6915963905393017,0.359479911878357
2,0.7754276001933579,0.766607290692591,0.7184060545707239,0.30455846741853515
3,0.8007129378081368,0.783121481335,0.7301922831862682,0.2936428215209616
4,0.8122009346763094,0.7900553994799692,0.7321186812265813,0.2863966418454358
5,0.8242318120711334,0.8027407354942502,0.7440376274176534,0.28094359951323217
6,0.8226115320967222,0.8033363878992865,0.7450662175862776,0.2769619061815052
7,0.8310428667497363,0.8084524996274213,0.7506766366501012,0.2745685999859654
8,0.8388483068782123,0.8112123027647654,0.7429859133071618,0.27065813133216976
9,0.8423476525623829,0.8185695026267555,0.7550438569240338,0.2671748602349277
10,0.8455969379058036,0.8231233494297284,0.7582877447534514,0.2652209915624064
11,0.8482111998901958,0.8163836232455902,0.7490049011503819,0.26382532139252424
12,0.8532039896463806,0.8254652293907524,0.7610859732753485,0.2630160993155003
13,0.8522424427701741,0.8243494322422869,0.7529450906347984,0.26043389039486675
14,0.8556950004570798,0.8285870052958983,0.7605156948347791,0.25916531205746385
15,0.8578974065110312,0.8284569807487887,0.7627292310786019,0.2580423813207576
16,0.8567549245962562,0.8288946427184302,0.7587628016327468,0.2568420734530508
17,0.8610638680093211,0.8337113076246447,0.7689088537999904,0.2560717700712181
18,0.8605030011054752,0.8310578609481968,0.7679044530269363,0.25332957874033896
19,0.8617924395440716,0.8323836298306199,0.7656751449947755,0.25358418755812256
20,0.8626222328826182,0.8328543425180724,0.7621242444363113,0.2528010119912595
21,0.8648595430852356,0.8357516929531651,0.7676714549789272,0.2516225832075087
22,0.864715881433547,0.8360681519604115,0.7721058590014416,0.2515501747161942
23,0.8669985319172155,0.8377108832469309,0.7733365727378355,0.24998034549379597
24,0.8683268193903498,0.8368245674748938,0.7706056522657401,0.24869062378680012
25,0.8677609579351604,0.8367790528039943,0.7669299129877214,0.24790579566707127
26,0.8706115285311471,0.8377369192246457,0.7726877699693738,0.2472619728926228
27,0.8719684361478868,0.8392088733413157,0.7676180144190285,0.2460642398836048
28,0.8709773237074383,0.8394700660600808,0.7713333820588893,0.24600561479195507
29,0.8714034746178416,0.8397322884588815,0.7696547130165569,0.24539366017131087
30,0.8733107071464229,0.8393460495905066,0.7718516510348987,0.24475554081575027
31,0.8744656717981811,0.843441774472874,0.7763743216940692,0.24313103143871914
32,0.8736160594233192,0.841971531993585,0.779563489824865,0.2428393105993734
33,0.874451012899609,0.8404760954136846,0.7781963923452535,0.24333235851767557
34,0.8727785166150556,0.8391885860403326,0.7651863438345125,0.24251876306226358
35,0.8730854673341591,0.8400068400238379,0.7765639533149358,0.2436453514665984
36,0.8798391129651908,0.8409796077849822,0.7702498214635486,0.24226999941733202
37,0.8783123851196043,0.8413421915991347,0.780181568439645,0.24079243754405827
38,0.8799980982192867,0.8408977898381371,0.7750327404184546,0.2400241699277681
39,0.8777931265019155,0.841429438729045,0.7744617153628806,0.2401229441485902
40,0.8791500483034423,0.8411673658996045,0.7741160881735959,0.23997085640671267
